id x y phenotype1 envi phenotype2 
178 0.753863 0.877161 -0.790976 0.0370819 -0.790976
179 0.247208 0.593534 0.164124 -0.576285 0.164124
180 0.604787 0.301712 0.983537 0.69389 0.983537
181 0.44366 0.49181 0.638926 0.588861 0.638926
182 0.552668 0.815925 -0.348976 1.00216 -0.348976
183 0.356598 0.0101384 -0.705441 0.415125 -0.705441
184 0.290413 0.595054 0.60942 -0.328556 0.60942
185 0.75801 0.907639 1.01367 -0.0106246 1.01367
186 0.0131713 0.308373 0.0316784 -0.0432174 0.0316784
187 0.170099 0.439442 0.845119 -0.0928586 0.845119
188 0.00291142 0.312597 1.75607 -0.066487 1.75607
189 0.248579 0.587742 -0.880524 -0.556321 -0.880524
190 0.0372093 0.658485 0.418956 -0.294913 0.418956
191 0.181841 0.984567 0.868684 0.576127 0.868684
192 0.363186 0.0200498 -0.24688 0.455543 -0.24688
193 0.243045 0.592152 -0.00760815 -0.565491 -0.00760815
194 0.060361 0.172428 0.0835704 -0.272885 0.0835704
195 0.0427394 0.671912 -0.00447026 -0.311415 -0.00447026
196 0.934425 0.26372 1.12791 0.0508291 1.12791
197 0.242646 0.598394 -0.455867 -0.587853 -0.455867
198 0.719145 0.896188 0.314984 0.150568 0.314984
199 0.111495 0.52185 1.37973 -0.290246 1.37973
200 0.559979 0.809814 -0.425258 0.97924 -0.425258
201 0.9773 0.487667 -0.31658 -1.43075 -0.31658
202 0.964795 0.461551 -0.741044 -1.18174 -0.741044
203 0.913015 0.277457 -0.590331 -0.0126409 -0.590331
204 0.729962 0.157155 -0.246005 0.00699273 -0.246005
205 0.980337 0.87329 0.957081 -0.332821 0.957081
206 0.180779 0.990122 0.0264327 0.603898 0.0264327
207 0.755697 0.89053 0.276274 0.0156714 0.276274
208 0.966336 0.462914 -0.651493 -1.1997 -0.651493
209 0.970051 0.460176 -0.641571 -1.20502 -0.641571
210 0.650255 0.564938 -0.432621 0.475383 -0.432621
211 0.0557451 0.162779 0.524874 -0.340837 0.524874
212 0.269263 0.599192 1.41683 -0.477044 1.41683
213 0.962813 0.461853 -0.83728 -1.17152 -0.83728
214 0.0142646 0.307597 0.879581 -0.0402825 0.879581
215 0.429701 0.192787 0.509549 0.955779 0.509549
216 0.118644 0.0130625 1.09327 -0.754704 1.09327
217 0.433154 0.527246 0.373061 0.543612 0.373061
218 0.749414 0.88114 -0.464599 0.0399924 -0.464599
219 0.994967 0.143089 0.00384098 -0.441136 0.00384098
220 0.456469 0.323605 0.138822 0.973039 0.138822
221 0.886746 0.533722 1.27752 -0.771243 1.27752
222 0.987408 0.878941 -0.42271 -0.33284 -0.42271
223 0.115859 0.724357 -0.0951603 -0.588185 -0.0951603
224 0.446615 0.503646 0.500926 0.587394 0.500926
225 0.598237 0.305433 0.847821 0.718823 0.847821
226 0.00697112 0.293206 0.0980295 -0.0359316 0.0980295
227 0.0702894 0.184524 -0.12687 -0.175978 -0.12687
228 0.987133 0.69568 -0.0539109 -0.812916 -0.0539109
229 0.961005 0.465524 -1.16161 -1.18291 -1.16161
230 0.98363 0.146931 1.40527 -0.405327 1.40527
231 0.966004 0.466256 -0.190426 -1.2186 -0.190426
232 0.273732 0.386687 0.992764 0.214565 0.992764
233 0.355893 0.890629 0.31349 0.553563 0.31349
234 0.659287 0.569988 0.908133 0.452343 0.908133
235 0.133941 0.0144969 0.641737 -0.654612 0.641737
236 0.429766 0.354915 -0.0807349 0.823438 -0.0807349
237 0.989674 0.142106 0.386079 -0.439307 0.386079
238 0.109161 0.5267 0.624771 -0.296505 0.624771
239 0.966561 0.461111 -0.797676 -1.18976 -0.797676
240 0.979549 0.670122 -0.271057 -0.877936 -0.271057
241 0.967534 0.46156 -0.603005 -1.19851 -0.603005
242 0.360737 0.881732 0.381202 0.532402 0.381202
243 0.682504 0.555429 1.33016 0.367368 1.33016
244 0.970062 0.474012 -1.03838 -1.29351 -1.03838
245 0.0617584 0.160582 1.93687 -0.330188 1.93687
246 0.0345529 0.976831 1.59396 -0.367523 1.59396
247 0.965334 0.46575 -0.785709 -1.21126 -0.785709
248 0.352198 0.906378 1.75567 0.616023 1.75567
249 0.982868 0.89176 -0.194187 -0.300021 -0.194187
250 0.0103509 0.975233 0.290539 -0.512352 0.290539
251 0.554493 0.00838959 -0.0634696 0.641446 -0.0634696
252 0.0929949 0.73999 0.0332607 -0.521675 0.0332607
253 0.760785 0.892314 0.524624 0.00621524 0.524624
254 0.988114 0.985118 -0.291879 -0.112964 -0.291879
255 0.362404 0.888014 1.24319 0.56751 1.24319
256 0.342807 0.894264 0.911125 0.521428 0.911125
257 0.773015 0.431363 0.270782 -0.00218505 0.270782
258 0.108539 0.522604 1.12388 -0.290878 1.12388
259 0.600008 0.319315 1.24695 0.69899 1.24695
260 0.303822 0.591242 1.12916 -0.233558 1.12916
261 0.170766 0.267703 0.78053 0.340326 0.78053
262 0.456612 0.326326 1.05645 0.968114 1.05645
263 0.984959 0.882036 -0.635849 -0.322692 -0.635849
264 0.454412 0.325465 0.359923 0.962952 0.359923
265 0.45345 0.318749 0.179466 0.973324 0.179466
266 0.244686 0.583217 -0.739524 -0.534612 -0.739524
267 0.326265 0.166423 0.265519 0.608878 0.265519
268 0.126318 0.436875 0.519609 -0.119494 0.519609
269 0.889602 0.298182 -0.759357 -0.0836379 -0.759357
270 0.747801 0.879205 -0.585032 0.0499087 -0.585032
271 0.959796 0.470464 -0.636515 -1.2054 -0.636515
272 0.0807281 0.149783 0.814416 -0.312849 0.814416
273 0.59576 0.355712 -0.0364818 0.683285 -0.0364818
274 0.356354 0.0175254 -0.431359 0.427681 -0.431359
275 0.905315 0.039947 -0.186995 -0.735895 -0.186995
276 0.882786 0.0372393 0.0266913 -0.676946 0.0266913
277 0.968695 0.470036 -0.750169 -1.25941 -0.750169
278 0.279593 0.388003 -0.143388 0.230972 -0.143388
279 0.72851 0.202396 -0.424358 0.0799835 -0.424358
280 0.724853 0.216449 -0.278625 0.117925 -0.278625
281 0.438324 0.391364 -0.640479 0.775843 -0.640479
282 0.426257 0.19639 -0.804151 0.951646 -0.804151
283 0.898352 0.0361835 0.663798 -0.729361 0.663798
284 0.00986804 0.30641 -0.612276 -0.0466882 -0.612276
285 0.0430059 0.6892 0.867999 -0.315678 0.867999
286 0.444191 0.325987 1.4293 0.930001 1.4293
287 0.626218 0.562503 0.746762 0.547041 0.746762
288 0.300769 0.59766 1.13098 -0.269366 1.13098
